"Status","Year","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Heterosexual / straight","170","160","41960","42000"
"In post","2021","Analysis","Digital, Data and Technology","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Unknown","35","35","46350","45170"
"In post","2021","Analysis","Economics","Heterosexual / straight","845","830","47460","42280"
"In post","2021","Analysis","Economics","LGBO","75","75","43700","35640"
"In post","2021","Analysis","Economics","Undeclared","95","90","48660","50150"
"In post","2021","Analysis","Economics","Unknown","265","260","43290","35840"
"In post","2021","Analysis","Finance","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Human Resources","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Heterosexual / straight","135","130","49290","51420"
"In post","2021","Analysis","Intelligence Analysis","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Unknown","130","125","54140","53360"
"In post","2021","Analysis","Knowledge and Information Management","Heterosexual / straight","30","30","36430","33000"
"In post","2021","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Heterosexual / straight","350","330","32070","30130"
"In post","2021","Analysis","Operational Delivery","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Unknown","180","170","32270","29540"
"In post","2021","Analysis","Operational Research","Heterosexual / straight","465","440","44430","42520"
"In post","2021","Analysis","Operational Research","LGBO","45","45","40100","37320"
"In post","2021","Analysis","Operational Research","Undeclared","70","65","46190","42660"
"In post","2021","Analysis","Operational Research","Unknown","85","85","42640","40480"
"In post","2021","Analysis","Other","Heterosexual / straight","160","155","67140","60780"
"In post","2021","Analysis","Other","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Other","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","Other","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Policy","Heterosexual / straight","235","225","45960","45250"
"In post","2021","Analysis","Policy","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Policy","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","65","60","53760","49930"
"In post","2021","Analysis","Project Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Heterosexual / straight","300","280","35830","31440"
"In post","2021","Analysis","Science and Engineering","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Undeclared","40","40","37990","36580"
"In post","2021","Analysis","Science and Engineering","Unknown","315","300","36020","30660"
"In post","2021","Analysis","Social Research","Heterosexual / straight","615","585","42120","37520"
"In post","2021","Analysis","Social Research","LGBO","65","60","40440","37020"
"In post","2021","Analysis","Social Research","Undeclared","35","35","41220","37950"
"In post","2021","Analysis","Social Research","Unknown","160","150","38130","37020"
"In post","2021","Analysis","Statistics","Heterosexual / straight","1215","1175","44190","40480"
"In post","2021","Analysis","Statistics","LGBO","130","125","40940","37020"
"In post","2021","Analysis","Statistics","Undeclared","120","115","41550","38430"
"In post","2021","Analysis","Statistics","Unknown","315","305","40390","37020"
"In post","2021","Analysis","Tax","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Heterosexual / straight","50","50","45930","41850"
