"Status","Year","Disability","Ethnicity","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Analysis","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Heterosexual / straight","35","30","32340","31810"
"In post","2021","Declared disabled","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Heterosexual / straight","45","45","38610","34360"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Heterosexual / straight","40","40","39600","36800"
"In post","2021","Declared disabled","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Heterosexual / straight","50","50","41300","37620"
"In post","2021","Declared disabled","Asian","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
