"Status","Year","Disability","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","55","50","29680","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","35","30","38160","30650"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Female","Heterosexual / straight","140","125","24460","21290"
"In post","2021","Declared disabled","Angus and Dundee City","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Male","Heterosexual / straight","55","55","25130","21080"
"In post","2021","Declared disabled","Angus and Dundee City","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Male","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","Undeclared","[c]","[c]","[c]","[c]"
