"Status","Year","Disability","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Female","Heterosexual / straight","22720","20250","30840","27570"
"In post","2021","Declared disabled","Female","LGBO","2045","1945","31540","27570"
"In post","2021","Declared disabled","Female","Undeclared","3050","2655","29950","27570"
"In post","2021","Declared disabled","Female","Unknown","2275","1910","29150","27570"
"In post","2021","Declared disabled","Male","Heterosexual / straight","14610","13930","32880","28550"
"In post","2021","Declared disabled","Male","LGBO","1965","1905","33910","29290"
"In post","2021","Declared disabled","Male","Undeclared","2275","2145","32850","28650"
"In post","2021","Declared disabled","Male","Unknown","1615","1500","31110","27570"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Female","Heterosexual / straight","137530","125115","33060","28130"
"In post","2021","Declared non-disabled","Female","LGBO","5920","5710","33070","28670"
"In post","2021","Declared non-disabled","Female","Undeclared","13005","11520","31850","27570"
"In post","2021","Declared non-disabled","Female","Unknown","21285","17840","29970","27570"
"In post","2021","Declared non-disabled","Male","Heterosexual / straight","111205","108235","35880","31590"
"In post","2021","Declared non-disabled","Male","LGBO","6705","6575","36670","31650"
"In post","2021","Declared non-disabled","Male","Undeclared","10210","9780","35910","31650"
"In post","2021","Declared non-disabled","Male","Unknown","15035","14275","34320","30330"
"In post","2021","Declared non-disabled","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Female","Heterosexual / straight","6145","5595","31390","27570"
"In post","2021","Undeclared","Female","LGBO","520","505","31900","29290"
"In post","2021","Undeclared","Female","Undeclared","4405","4000","33190","29290"
"In post","2021","Undeclared","Female","Unknown","2035","1800","31850","29290"
