"Status","Year","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Outside London","50","45","37570","33590"
"In post","2021","Analysis","East of England","Outside London","385","360","35070","31450"
"In post","2021","Analysis","London","London","3455","3355","48920","44950"
"In post","2021","Analysis","North East (England)","Outside London","60","60","42160","42220"
"In post","2021","Analysis","North West (England)","Outside London","370","350","38490","38630"
"In post","2021","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Outside London","65","65","46870","41060"
"In post","2021","Analysis","South East (England)","Outside London","870","830","38950","37320"
"In post","2021","Analysis","South West (England)","Outside London","465","440","37040","35900"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Outside London","1085","1035","36250","36030"
"In post","2021","Analysis","West Midlands (England)","Outside London","65","60","41250","38650"
"In post","2021","Analysis","Yorkshire and The Humber","Outside London","345","330","41430","41990"
"In post","2021","Commercial","East Midlands (England)","Outside London","165","155","40710","38150"
"In post","2021","Commercial","East of England","Outside London","395","380","41190","37250"
"In post","2021","Commercial","London","London","1880","1845","58850","54700"
"In post","2021","Commercial","North East (England)","Outside London","110","105","47070","44850"
"In post","2021","Commercial","North West (England)","Outside London","775","750","43120","38630"
"In post","2021","Commercial","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","40","40","47880","42200"
"In post","2021","Commercial","Scotland","Outside London","390","380","38010","34800"
"In post","2021","Commercial","South East (England)","Outside London","675","650","38950","34800"
"In post","2021","Commercial","South West (England)","Outside London","1355","1310","42290","39650"
"In post","2021","Commercial","Unknown","Unknown","30","30","47790","40580"
"In post","2021","Commercial","Wales","Outside London","360","340","35620","31940"
"In post","2021","Commercial","West Midlands (England)","Outside London","350","340","40330","36780"
"In post","2021","Commercial","Yorkshire and The Humber","Outside London","460","445","45450","40470"
"In post","2021","Communications","East Midlands (England)","Outside London","510","495","29800","25560"
"In post","2021","Communications","East of England","Outside London","100","95","33240","31170"
"In post","2021","Communications","London","London","2450","2395","44780","40830"
"In post","2021","Communications","North East (England)","Outside London","1545","1460","28000","25560"
"In post","2021","Communications","North West (England)","Outside London","710","690","30860","27770"
"In post","2021","Communications","Northern Ireland","Outside London","35","35","39660","37370"
"In post","2021","Communications","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Outside London","220","205","33030","31810"
"In post","2021","Communications","South East (England)","Outside London","330","315","33090","31200"
"In post","2021","Communications","South West (England)","Outside London","355","335","35930","33300"
"In post","2021","Communications","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Wales","Outside London","960","920","29430","25560"
"In post","2021","Communications","West Midlands (England)","Outside London","350","340","32890","31810"
"In post","2021","Communications","Yorkshire and The Humber","Outside London","640","625","30540","25560"
"In post","2021","Counter Fraud","East Midlands (England)","Outside London","540","510","33520","31810"
"In post","2021","Counter Fraud","East of England","Outside London","445","415","28610","25560"
"In post","2021","Counter Fraud","London","London","2315","2230","39230","36160"
"In post","2021","Counter Fraud","North East (England)","Outside London","535","510","32110","31810"
"In post","2021","Counter Fraud","North West (England)","Outside London","1690","1585","33010","31810"
"In post","2021","Counter Fraud","Northern Ireland","Outside London","395","375","31180","28130"
"In post","2021","Counter Fraud","Scotland","Outside London","850","780","30650","28130"
"In post","2021","Counter Fraud","South East (England)","Outside London","440","415","31330","29570"
"In post","2021","Counter Fraud","South West (England)","Outside London","395","370","35390","31810"
"In post","2021","Counter Fraud","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Outside London","400","370","31290","31810"
"In post","2021","Counter Fraud","West Midlands (England)","Outside London","730","675","32160","31810"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Outside London","870","815","32420","31810"
"In post","2021","Debt","East Midlands (England)","Outside London","255","230","21620","20140"
"In post","2021","Debt","East of England","Outside London","140","125","24890","24670"
"In post","2021","Debt","London","London","560","500","28270","25630"
"In post","2021","Debt","North East (England)","Outside London","590","545","21620","20140"
"In post","2021","Debt","North West (England)","Outside London","340","315","23550","21440"
