"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","AA","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","AA/AO","AO","Heterosexual / straight","145","140","22380","21590"
"In post","2021","Commercial","AA/AO","AO","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","AA/AO","AO","Undeclared","30","25","[c]","[c]"
"In post","2021","Commercial","AA/AO","AO","Unknown","55","50","23300","23240"
"In post","2021","Commercial","EO","EO","Heterosexual / straight","515","490","25970","26400"
"In post","2021","Commercial","EO","EO","LGBO","30","30","25670","26000"
"In post","2021","Commercial","EO","EO","Undeclared","65","60","26510","26700"
"In post","2021","Commercial","EO","EO","Unknown","100","95","25730","25890"
"In post","2021","Commercial","G6/G7","G6","Heterosexual / straight","215","210","71060","69270"
"In post","2021","Commercial","G6/G7","G6","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","G6/G7","G6","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","G6/G7","G6","Unknown","50","50","64750","62400"
"In post","2021","Commercial","G6/G7","G7","Heterosexual / straight","480","465","55160","54110"
"In post","2021","Commercial","G6/G7","G7","LGBO","20","20","[c]","[c]"
"In post","2021","Commercial","G6/G7","G7","Undeclared","55","50","56000","55260"
"In post","2021","Commercial","G6/G7","G7","Unknown","165","160","51340","49760"
"In post","2021","Commercial","SCS level","SCS level","Heterosexual / straight","70","65","90420","83090"
"In post","2021","Commercial","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","HEO","Heterosexual / straight","920","890","32240","33000"
"In post","2021","Commercial","SEO/HEO","HEO","LGBO","50","50","30910","31290"
"In post","2021","Commercial","SEO/HEO","HEO","Undeclared","120","115","32940","33240"
"In post","2021","Commercial","SEO/HEO","HEO","Unknown","200","190","31950","31890"
"In post","2021","Commercial","SEO/HEO","SEO","Heterosexual / straight","1250","1210","41870","41100"
"In post","2021","Commercial","SEO/HEO","SEO","LGBO","45","45","41060","40500"
"In post","2021","Commercial","SEO/HEO","SEO","Undeclared","165","160","42620","42080"
"In post","2021","Commercial","SEO/HEO","SEO","Unknown","290","285","40420","39650"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","165","165","38820","37400"
"In post","2021","Commercial","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","AA/AO","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Communications","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
