"Status","Year","Age","Disability","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","South East (England)","[c]","[c]","[c]","[c]"
