"Status","Year","Age","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA/AO","Female","Heterosexual / straight","285","270","21180","21010"
"In post","2021","16-19","AA/AO","Female","LGBO","25","25","[c]","[c]"
"In post","2021","16-19","AA/AO","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","16-19","AA/AO","Female","Unknown","195","185","20620","20140"
"In post","2021","16-19","AA/AO","Male","Heterosexual / straight","215","210","20670","21010"
"In post","2021","16-19","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","16-19","AA/AO","Male","Unknown","175","165","20470","20140"
"In post","2021","16-19","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Female","Heterosexual / straight","85","85","24370","25230"
"In post","2021","16-19","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","EO","Female","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","EO","Male","Heterosexual / straight","110","110","22720","23580"
"In post","2021","16-19","EO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Male","Unknown","60","60","20600","17780"
"In post","2021","16-19","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Unknown","45","45","18570","16780"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Female","Heterosexual / straight","8020","7680","22180","21050"
"In post","2021","20-29","AA/AO","Female","LGBO","1040","1020","22910","21430"
"In post","2021","20-29","AA/AO","Female","Undeclared","685","655","22420","21270"
"In post","2021","20-29","AA/AO","Female","Unknown","4060","3910","21860","21010"
"In post","2021","20-29","AA/AO","Male","Heterosexual / straight","7350","7255","23140","21430"
"In post","2021","20-29","AA/AO","Male","LGBO","680","665","21940","21010"
"In post","2021","20-29","AA/AO","Male","Undeclared","520","505","22950","21430"
"In post","2021","20-29","AA/AO","Male","Unknown","4110","4050","22410","21010"
"In post","2021","20-29","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Female","Heterosexual / straight","8120","7985","27180","27570"
"In post","2021","20-29","EO","Female","LGBO","835","830","27240","27570"
"In post","2021","20-29","EO","Female","Undeclared","585","580","27440","27570"
"In post","2021","20-29","EO","Female","Unknown","2500","2460","26820","26670"
"In post","2021","20-29","EO","Male","Heterosexual / straight","6035","6010","26980","27500"
"In post","2021","20-29","EO","Male","LGBO","645","640","26950","27570"
"In post","2021","20-29","EO","Male","Undeclared","530","530","27230","27500"
"In post","2021","20-29","EO","Male","Unknown","2345","2330","26620","26170"
"In post","2021","20-29","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Female","Heterosexual / straight","1445","1435","54150","53380"
"In post","2021","20-29","G6/G7","Female","LGBO","175","175","54550","53380"
"In post","2021","20-29","G6/G7","Female","Undeclared","140","140","55070","53420"
"In post","2021","20-29","G6/G7","Female","Unknown","520","515","54260","53420"
"In post","2021","20-29","G6/G7","Male","Heterosexual / straight","1190","1190","54600","53420"
"In post","2021","20-29","G6/G7","Male","LGBO","245","245","54710","53600"
"In post","2021","20-29","G6/G7","Male","Undeclared","145","140","55040","53640"
"In post","2021","20-29","G6/G7","Male","Unknown","500","500","54820","54070"
"In post","2021","20-29","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Female","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","SCS level","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Female","Heterosexual / straight","7235","7180","34570","33570"
"In post","2021","20-29","SEO/HEO","Female","LGBO","795","790","34070","33280"
"In post","2021","20-29","SEO/HEO","Female","Undeclared","615","610","34760","33830"
"In post","2021","20-29","SEO/HEO","Female","Unknown","3180","3165","33050","32000"
"In post","2021","20-29","SEO/HEO","Male","Heterosexual / straight","5695","5680","34550","33570"
"In post","2021","20-29","SEO/HEO","Male","LGBO","830","825","35020","34050"
"In post","2021","20-29","SEO/HEO","Male","Undeclared","610","610","34990","34220"
"In post","2021","20-29","SEO/HEO","Male","Unknown","3005","3000","33620","32390"
"In post","2021","20-29","SEO/HEO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO/HEO","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Female","Heterosexual / straight","1520","1490","25960","23840"
"In post","2021","20-29","Unknown","Female","LGBO","120","115","25120","23840"
"In post","2021","20-29","Unknown","Female","Undeclared","75","75","25550","23840"
"In post","2021","20-29","Unknown","Female","Unknown","305","300","24930","22920"
"In post","2021","20-29","Unknown","Male","Heterosexual / straight","460","455","27500","27540"
"In post","2021","20-29","Unknown","Male","LGBO","45","45","23200","22920"
"In post","2021","20-29","Unknown","Male","Undeclared","35","35","28190","30210"
"In post","2021","20-29","Unknown","Male","Unknown","410","405","27910","28680"
"In post","2021","20-29","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Female","Heterosexual / straight","8655","7310","21880","21010"
"In post","2021","30-39","AA/AO","Female","LGBO","690","660","23790","21590"
"In post","2021","30-39","AA/AO","Female","Undeclared","965","815","21960","21130"
"In post","2021","30-39","AA/AO","Female","Unknown","3415","2820","21710","21010"
"In post","2021","30-39","AA/AO","Male","Heterosexual / straight","7690","7575","23960","21590"
"In post","2021","30-39","AA/AO","Male","LGBO","505","495","22640","21010"
"In post","2021","30-39","AA/AO","Male","Undeclared","850","830","23720","21470"
"In post","2021","30-39","AA/AO","Male","Unknown","3060","2995","23380","21010"
"In post","2021","30-39","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Female","Heterosexual / straight","9820","8900","27290","27570"
"In post","2021","30-39","EO","Female","LGBO","680","660","27670","27570"
"In post","2021","30-39","EO","Female","Undeclared","875","800","27530","27570"
"In post","2021","30-39","EO","Female","Unknown","2790","2520","27380","27570"
"In post","2021","30-39","EO","Male","Heterosexual / straight","7515","7470","27630","27570"
"In post","2021","30-39","EO","Male","LGBO","660","655","27610","27570"
"In post","2021","30-39","EO","Male","Undeclared","815","810","27930","27570"
"In post","2021","30-39","EO","Male","Unknown","2510","2485","27650","27570"
"In post","2021","30-39","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Female","Heterosexual / straight","5945","5650","56930","54760"
"In post","2021","30-39","G6/G7","Female","LGBO","380","370","56590","54700"
"In post","2021","30-39","G6/G7","Female","Undeclared","555","535","57460","55430"
"In post","2021","30-39","G6/G7","Female","Unknown","1640","1565","56810","54700"
"In post","2021","30-39","G6/G7","Male","Heterosexual / straight","5100","5060","57240","55110"
"In post","2021","30-39","G6/G7","Male","LGBO","605","600","57670","56340"
"In post","2021","30-39","G6/G7","Male","Undeclared","665","660","57060","55000"
"In post","2021","30-39","G6/G7","Male","Unknown","1635","1625","57280","54760"
"In post","2021","30-39","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","SCS level","Female","Heterosexual / straight","375","355","79110","75210"
"In post","2021","30-39","SCS level","Female","LGBO","25","25","[c]","[c]"
"In post","2021","30-39","SCS level","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","30-39","SCS level","Female","Unknown","165","160","78720","73860"
"In post","2021","30-39","SCS level","Male","Heterosexual / straight","340","335","80190","75500"
