"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Yorkshire and The Humber","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","Female","45","45","45160","39750"
"In post","2021","Attorney General's Departments","Communications","London","Male","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Female","110","110","42550","35480"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Male","170","165","47030","41140"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Female","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Male","55","55","44350","40170"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Female","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Male","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","Female","35","30","39450","31630"
"In post","2021","Attorney General's Departments","Finance","London","Male","30","30","46250","38320"
"In post","2021","Attorney General's Departments","Finance","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
