"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AO","Heterosexual / straight","135","120","22560","21950"
"In post","2021","Declared disabled","Attorney General's Departments","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AO","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Heterosexual / straight","130","120","28300","28430"
"In post","2021","Declared disabled","Attorney General's Departments","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6","Heterosexual / straight","65","60","71010","69130"
"In post","2021","Declared disabled","Attorney General's Departments","G6","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G7","Heterosexual / straight","255","235","56750","55610"
"In post","2021","Declared disabled","Attorney General's Departments","G7","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G7","Unknown","50","40","58330","56080"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","Heterosexual / straight","75","75","35040","34480"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AO","Heterosexual / straight","65","60","21970","20800"
"In post","2021","Declared disabled","Cabinet Office","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","EO","Heterosexual / straight","90","85","27040","27500"
"In post","2021","Declared disabled","Cabinet Office","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G6","Heterosexual / straight","40","40","67340","64500"
"In post","2021","Declared disabled","Cabinet Office","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G7","Heterosexual / straight","125","125","55710","54700"
"In post","2021","Declared disabled","Cabinet Office","G7","LGBO","35","30","55360","54700"
"In post","2021","Declared disabled","Cabinet Office","G7","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","HEO","Heterosexual / straight","120","120","34120","34550"
"In post","2021","Declared disabled","Cabinet Office","HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Heterosexual / straight","35","35","92360","79090"
"In post","2021","Declared disabled","Cabinet Office","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO","Heterosexual / straight","50","45","40550","40600"
"In post","2021","Declared disabled","Cabinet Office","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
