"Status","Year","Disability","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","London","40","40","41840","36620"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","London","30","30","42550","40210"
"In post","2021","Declared disabled","Asian","Finance","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","London","40","35","54470","52060"
"In post","2021","Declared disabled","Asian","Legal","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","London","375","340","30990","29080"
"In post","2021","Declared disabled","Asian","Operational Delivery","Outside London","505","460","25620","22510"
"In post","2021","Declared disabled","Asian","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","London","35","30","29500","28230"
"In post","2021","Declared disabled","Asian","Other","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","London","140","135","42470","37000"
"In post","2021","Declared disabled","Asian","Policy","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","London","50","45","41660","38600"
"In post","2021","Declared disabled","Asian","Project Delivery","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","London","[c]","[c]","[c]","[c]"
