"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Female","35","35","26510","26410"
"In post","2021","Declared disabled","Analysis","EO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","G7","Female","55","50","55010","54110"
"In post","2021","Declared disabled","Analysis","G7","Male","55","55","53460","53130"
"In post","2021","Declared disabled","Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","HEO","Female","80","75","31490","31090"
"In post","2021","Declared disabled","Analysis","HEO","Male","90","85","33350","33200"
"In post","2021","Declared disabled","Analysis","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO","Female","80","75","39370","38770"
"In post","2021","Declared disabled","Analysis","SEO","Male","70","70","40880","38990"
"In post","2021","Declared disabled","Analysis","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Female","35","35","22040","21580"
"In post","2021","Declared disabled","Commercial","AO","Male","30","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Female","60","55","27160","26780"
"In post","2021","Declared disabled","Commercial","EO","Male","30","30","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Female","35","35","55470","54700"
"In post","2021","Declared disabled","Commercial","G7","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Female","75","75","33180","33300"
"In post","2021","Declared disabled","Commercial","HEO","Male","50","50","33340","33300"
"In post","2021","Declared disabled","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Male","5","5","[c]","[c]"
