"Status","Year","Ethnicity","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","EO","EO","15","10","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","AA/AO","AO","25","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","EO","EO","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","SEO/HEO","SEO","5","5","[c]","[c]"
