"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Heterosexual / straight","4485","4115","42960","40800"
"In post","2021","Attorney General's Departments","Female","LGBO","190","180","42110","33310"
"In post","2021","Attorney General's Departments","Female","Undeclared","230","215","46170","50520"
"In post","2021","Attorney General's Departments","Female","Unknown","1475","1285","45870","50520"
"In post","2021","Attorney General's Departments","Male","Heterosexual / straight","2280","2230","46660","48830"
"In post","2021","Attorney General's Departments","Male","LGBO","245","240","47650","50510"
"In post","2021","Attorney General's Departments","Male","Undeclared","155","150","49080","51250"
"In post","2021","Attorney General's Departments","Male","Unknown","780","760","49980","55450"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Heterosexual / straight","2475","2375","45960","40580"
"In post","2021","Cabinet Office","Female","LGBO","165","165","41470","34640"
"In post","2021","Cabinet Office","Female","Undeclared","230","225","45300","40580"
"In post","2021","Cabinet Office","Female","Unknown","2170","2135","42670","32000"
"In post","2021","Cabinet Office","Male","Heterosexual / straight","1940","1925","50540","49700"
"In post","2021","Cabinet Office","Male","LGBO","270","270","46990","43890"
"In post","2021","Cabinet Office","Male","Undeclared","275","270","49780","47050"
"In post","2021","Cabinet Office","Male","Unknown","1930","1920","48310","34640"
"In post","2021","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Heterosexual / straight","140","130","53500","46180"
"In post","2021","Chancellor's other departments","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Undeclared","30","30","52380","48660"
"In post","2021","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Heterosexual / straight","155","155","64840","55220"
"In post","2021","Chancellor's other departments","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Undeclared","55","55","62710","50540"
"In post","2021","Chancellor's other departments","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Heterosexual / straight","130","120","34350","29160"
"In post","2021","Charity Commission","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Charity Commission","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Charity Commission","Female","Unknown","100","95","34130","29320"
"In post","2021","Charity Commission","Male","Heterosexual / straight","100","95","34560","29160"
"In post","2021","Charity Commission","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Unknown","75","75","37100","30980"
"In post","2021","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Heterosexual / straight","365","345","58160","55860"
"In post","2021","Competition and Markets Authority","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Undeclared","35","30","58990","56360"
"In post","2021","Competition and Markets Authority","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Heterosexual / straight","320","315","61680","58320"
"In post","2021","Competition and Markets Authority","Male","LGBO","45","45","59920","56360"
"In post","2021","Competition and Markets Authority","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","3755","3520","40890","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","LGBO","315","310","41820","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Undeclared","430","400","42580","39580"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Unknown","1990","1850","34440","32730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","3255","3200","45730","40940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","LGBO","365","365","45110","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Undeclared","495","485","46620","43470"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Unknown","2560","2495","39030","38980"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","695","675","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","LGBO","80","80","41960","34130"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Undeclared","60","60","47810","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Unknown","120","115","48210","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","555","550","50570","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","LGBO","100","100","51280","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Undeclared","50","50","49250","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Unknown","110","110","48200","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Heterosexual / straight","3310","3125","43010","37710"
"In post","2021","Department for Education","Female","LGBO","200","195","42050","38620"
"In post","2021","Department for Education","Female","Undeclared","295","280","43130","38150"
"In post","2021","Department for Education","Female","Unknown","835","795","43820","40230"
"In post","2021","Department for Education","Male","Heterosexual / straight","2190","2175","44780","40510"
"In post","2021","Department for Education","Male","LGBO","220","215","43910","37100"
"In post","2021","Department for Education","Male","Undeclared","245","240","45500","42420"
"In post","2021","Department for Education","Male","Unknown","630","625","44710","40430"
"In post","2021","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","4025","3730","35690","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","LGBO","250","235","36000","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Undeclared","445","415","35680","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Unknown","1470","1340","32250","28170"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","2935","2890","38780","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","LGBO","260","260","37090","32830"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Undeclared","395","385","37400","34010"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Unknown","1255","1225","34430","29750"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Female","Heterosexual / straight","735","720","45780","40290"
"In post","2021","Department for International Trade","Female","LGBO","60","60","43870","38540"
"In post","2021","Department for International Trade","Female","Undeclared","75","75","44980","39340"
"In post","2021","Department for International Trade","Female","Unknown","395","395","42510","38540"
"In post","2021","Department for International Trade","Male","Heterosexual / straight","805","800","47070","42160"
"In post","2021","Department for International Trade","Male","LGBO","125","125","48750","51710"
"In post","2021","Department for International Trade","Male","Undeclared","70","70","46650","40780"
"In post","2021","Department for International Trade","Male","Unknown","420","420","46100","39440"
"In post","2021","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Female","Heterosexual / straight","4535","4055","31670","26700"
"In post","2021","Department for Transport","Female","LGBO","240","230","31720","26780"
"In post","2021","Department for Transport","Female","Undeclared","1410","1125","26160","21590"
"In post","2021","Department for Transport","Female","Unknown","1085","995","29740","26130"
"In post","2021","Department for Transport","Male","Heterosexual / straight","5425","5270","36120","30780"
"In post","2021","Department for Transport","Male","LGBO","340","335","38130","33990"
"In post","2021","Department for Transport","Male","Undeclared","1510","1425","32820","27680"
"In post","2021","Department for Transport","Male","Unknown","1425","1385","32800","28000"
"In post","2021","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Female","Heterosexual / straight","39960","34915","27780","27570"
"In post","2021","Department for Work and Pensions","Female","LGBO","1740","1635","27970","27570"
"In post","2021","Department for Work and Pensions","Female","Undeclared","4815","4115","27190","27570"
"In post","2021","Department for Work and Pensions","Female","Unknown","14320","11800","26620","27570"
"In post","2021","Department for Work and Pensions","Male","Heterosexual / straight","20600","19845","29480","27570"
"In post","2021","Department for Work and Pensions","Male","LGBO","2000","1940","28320","27570"
"In post","2021","Department for Work and Pensions","Male","Undeclared","2800","2665","29480","27570"
"In post","2021","Department for Work and Pensions","Male","Unknown","7285","6915","28610","27570"
"In post","2021","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
