"Status","Year","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","Heterosexual / straight","2175","2040","43150","38630"
"In post","2021","Analysis","Female","LGBO","205","200","39780","36160"
"In post","2021","Analysis","Female","Undeclared","195","180","42510","37750"
"In post","2021","Analysis","Female","Unknown","680","635","39480","36160"
"In post","2021","Analysis","Male","Heterosexual / straight","2460","2415","44820","39950"
"In post","2021","Analysis","Male","LGBO","220","220","42670","37020"
"In post","2021","Analysis","Male","Undeclared","300","295","46260","41950"
"In post","2021","Analysis","Male","Unknown","940","925","42170","37320"
"In post","2021","Analysis","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","Female","Heterosexual / straight","2210","2105","39780","35610"
"In post","2021","Commercial","Female","LGBO","75","75","36860","33000"
"In post","2021","Commercial","Female","Undeclared","285","260","36570","33350"
"In post","2021","Commercial","Female","Unknown","965","930","53100","49700"
"In post","2021","Commercial","Male","Heterosexual / straight","1990","1965","45070","40500"
"In post","2021","Commercial","Male","LGBO","110","110","40570","36450"
"In post","2021","Commercial","Male","Undeclared","290","285","43670","39840"
"In post","2021","Commercial","Male","Unknown","1060","1045","59090","54540"
"In post","2021","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Heterosexual / straight","2600","2450","36340","31810"
"In post","2021","Communications","Female","LGBO","140","135","34300","31810"
"In post","2021","Communications","Female","Undeclared","255","235","35220","31810"
"In post","2021","Communications","Female","Unknown","1300","1235","34130","29540"
"In post","2021","Communications","Male","Heterosexual / straight","2165","2140","34370","31810"
"In post","2021","Communications","Male","LGBO","235","230","37080","32230"
"In post","2021","Communications","Male","Undeclared","240","235","32750","30700"
"In post","2021","Communications","Male","Unknown","1275","1260","32710","25560"
"In post","2021","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","Heterosexual / straight","2805","2560","33020","31810"
"In post","2021","Counter Fraud","Female","LGBO","145","140","33560","29570"
"In post","2021","Counter Fraud","Female","Undeclared","395","350","33440","31810"
"In post","2021","Counter Fraud","Female","Unknown","1175","1070","30340","28130"
"In post","2021","Counter Fraud","Male","Heterosexual / straight","3055","2960","35690","31810"
"In post","2021","Counter Fraud","Male","LGBO","160","155","34910","31810"
"In post","2021","Counter Fraud","Male","Undeclared","545","520","37170","32100"
"In post","2021","Counter Fraud","Male","Unknown","1345","1300","33010","31810"
"In post","2021","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","Heterosexual / straight","1275","1090","24070","21440"
"In post","2021","Debt","Female","LGBO","60","55","23230","20140"
"In post","2021","Debt","Female","Undeclared","195","160","23770","21440"
"In post","2021","Debt","Female","Unknown","1115","980","22360","20140"
