"Status","Year","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","80","80","47300","44740"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","155","150","39560","40080"
"In post","2021","Analysis","Economics","London","1070","1050","47760","42020"
"In post","2021","Analysis","Economics","Outside London","210","205","39750","33790"
"In post","2021","Analysis","Finance","London","30","30","50110","46250"
"In post","2021","Analysis","Finance","Outside London","15","15","40640","33840"
"In post","2021","Analysis","Human Resources","London","20","20","49300","45420"
"In post","2021","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","215","205","54010","53360"
"In post","2021","Analysis","Intelligence Analysis","Outside London","75","70","46760","49530"
"In post","2021","Analysis","Knowledge and Information Management","London","15","15","40710","33790"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","35","35","35640","32550"
"In post","2021","Analysis","Operational Delivery","London","85","80","39530","32540"
"In post","2021","Analysis","Operational Delivery","Outside London","505","470","31200","29540"
"In post","2021","Analysis","Operational Research","London","275","265","49340","48170"
"In post","2021","Analysis","Operational Research","Outside London","385","370","40240","38630"
"In post","2021","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","London","210","200","64030","57250"
"In post","2021","Analysis","Other","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","London","215","205","50490","46030"
"In post","2021","Analysis","Policy","Outside London","130","125","42610","42220"
"In post","2021","Analysis","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","20","20","61290","57720"
"In post","2021","Analysis","Science and Engineering","Outside London","650","615","35100","30660"
"In post","2021","Analysis","Social Research","London","330","320","46450","42470"
"In post","2021","Analysis","Social Research","Outside London","540","510","38040","37020"
"In post","2021","Analysis","Statistics","London","785","760","46960","42470"
"In post","2021","Analysis","Statistics","Outside London","995","960","40060","37020"
"In post","2021","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","10","10","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","London","75","70","46050","41760"
"In post","2021","Analysis","Unknown","Outside London","20","20","41880","40770"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","London","700","685","47510","42470"
"In post","2021","Commercial","Commercial","Outside London","3345","3225","38930","36710"
"In post","2021","Commercial","Commercial","Overseas","35","35","49590","43300"
"In post","2021","Commercial","Commercial","Unknown","10","10","35360","37130"
"In post","2021","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","20","20","38110","35440"
"In post","2021","Commercial","Finance","Outside London","50","50","31860","27660"
"In post","2021","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","125","125","37250","32040"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","550","535","32620","29200"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","240","240","52260","46550"
"In post","2021","Commercial","Operational Delivery","Outside London","165","160","29350","25560"
"In post","2021","Commercial","Other","London","10","10","63040","48820"
"In post","2021","Commercial","Other","Outside London","55","55","41140","40530"
"In post","2021","Commercial","Policy","London","15","15","53770","56680"
"In post","2021","Commercial","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","65","65","47120","42610"
"In post","2021","Commercial","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","110","105","40630","40710"
"In post","2021","Commercial","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","London","755","745","75670","67770"
"In post","2021","Commercial","Unknown","Outside London","670","655","63650","61710"
"In post","2021","Commercial","Unknown","Unknown","15","15","62420","54700"
"In post","2021","Commercial","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
