"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Inner London - East","80","75","45250","42120"
"In post","2021","Asian","Analysis","London","Inner London - West","240","235","45280","41760"
"In post","2021","Asian","Analysis","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Greater Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Hampshire and Isle of Wight","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","East Wales","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","South Yorkshire","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Inner London - East","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","London","Inner London - West","110","105","46170","37640"
"In post","2021","Asian","Commercial","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Outer London - South","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
