"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","20","20","47910","51970"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","10","10","35540","33180"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","10","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","East Cumbria","10","10","31460","30040"
"In post","2021","Analysis","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","35","35","36020","33350"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","5","5","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","5","5","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","10","10","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","115","110","33040","29270"
"In post","2021","Analysis","Dorset and Somerset","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
