"Status","Year","Region_ITL1","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Outside London","AA/AO","8000","7255","22060","21010"
"In post","2021","East Midlands (England)","Outside London","EO","6120","5650","27050","27570"
"In post","2021","East Midlands (England)","Outside London","G6/G7","1420","1350","57500","53430"
"In post","2021","East Midlands (England)","Outside London","SCS level","90","85","90340","83850"
"In post","2021","East Midlands (England)","Outside London","SEO/HEO","4745","4510","35850","33840"
"In post","2021","East Midlands (England)","Outside London","Unknown","1000","915","29910","30210"
"In post","2021","East of England","Outside London","AA/AO","7830","7185","23610","21500"
"In post","2021","East of England","Outside London","EO","7175","6600","28230","27570"
"In post","2021","East of England","Outside London","G6/G7","1340","1285","59010","55430"
"In post","2021","East of England","Outside London","SCS level","125","120","95730","94000"
"In post","2021","East of England","Outside London","SEO/HEO","5090","4845","36740","35310"
"In post","2021","East of England","Outside London","Unknown","1030","945","28690","28200"
"In post","2021","London","London","AA/AO","12710","11815","25550","25110"
"In post","2021","London","London","EO","21305","20200","29990","30110"
"In post","2021","London","London","G6/G7","27640","26715","60520","58910"
"In post","2021","London","London","SCS level","4695","4525","90940","81900"
"In post","2021","London","London","SEO/HEO","33935","33155","38310","37560"
"In post","2021","London","London","Unknown","1650","1590","33840","33370"
"In post","2021","North East (England)","Outside London","AA/AO","13680","11730","21470","21010"
"In post","2021","North East (England)","Outside London","EO","7905","7185","26810","27570"
"In post","2021","North East (England)","Outside London","G6/G7","2035","1975","54800","52580"
"In post","2021","North East (England)","Outside London","SCS level","115","115","87070","78050"
"In post","2021","North East (England)","Outside London","SEO/HEO","6155","5830","34770","32960"
"In post","2021","North East (England)","Outside London","Unknown","710","665","29380","28200"
"In post","2021","North West (England)","Outside London","AA/AO","21110","18795","21530","21010"
"In post","2021","North West (England)","Outside London","EO","18375","16945","26900","27570"
"In post","2021","North West (England)","Outside London","G6/G7","4565","4410","56330","52630"
"In post","2021","North West (England)","Outside London","SCS level","285","280","87150","80250"
"In post","2021","North West (England)","Outside London","SEO/HEO","12975","12390","35170","33520"
"In post","2021","North West (England)","Outside London","Unknown","2030","1890","30610","30210"
