"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AO","Female","115","100","22610","21950"
"In post","2021","Declared disabled","Attorney General's Departments","AO","Male","50","50","22530","21950"
"In post","2021","Declared disabled","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Female","125","110","28200","28430"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Male","55","55","28710","28430"
"In post","2021","Declared disabled","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6","Female","55","50","69700","67700"
"In post","2021","Declared disabled","Attorney General's Departments","G6","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","G7","Female","215","190","56700","55610"
"In post","2021","Declared disabled","Attorney General's Departments","G7","Male","135","130","56970","55610"
"In post","2021","Declared disabled","Attorney General's Departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","Female","65","60","35360","34480"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","Male","35","35","34490","34480"
"In post","2021","Declared disabled","Attorney General's Departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AO","Female","45","35","22030","20920"
"In post","2021","Declared disabled","Cabinet Office","AO","Male","35","35","22160","20920"
"In post","2021","Declared disabled","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","EO","Female","65","60","27280","27500"
"In post","2021","Declared disabled","Cabinet Office","EO","Male","50","50","27080","27500"
"In post","2021","Declared disabled","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G6","Female","30","30","66100","66440"
"In post","2021","Declared disabled","Cabinet Office","G6","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","G7","Female","95","90","55360","54700"
"In post","2021","Declared disabled","Cabinet Office","G7","Male","90","90","55970","54700"
"In post","2021","Declared disabled","Cabinet Office","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","HEO","Female","85","85","34240","34550"
"In post","2021","Declared disabled","Cabinet Office","HEO","Male","80","80","34430","34550"
"In post","2021","Declared disabled","Cabinet Office","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO","Female","50","45","40550","40600"
"In post","2021","Declared disabled","Cabinet Office","SEO","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","HEO","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AO","Female","80","70","21740","20880"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AO","Male","40","35","22050","21140"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","Female","95","90","26650","26380"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","Male","70","70","27020","26750"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G6","Female","40","40","66940","65250"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G6","Male","30","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G7","Female","90","85","54710","53600"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G7","Male","90","85","55090","53600"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","HEO","Female","170","165","33500","33570"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","HEO","Male","115","110","34540","33640"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO","Female","95","90","42500","40220"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO","Male","85","85","41980","40720"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","EO","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","EO","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G7","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G7","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","HEO","Female","30","30","35030","34020"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","HEO","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","AO","Female","10","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","AO","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","EO","Female","70","65","26390","26000"
"In post","2021","Declared disabled","Department for Education","EO","Male","35","35","26840","26000"
"In post","2021","Declared disabled","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","G6","Female","35","35","64590","64480"
"In post","2021","Declared disabled","Department for Education","G6","Male","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","G7","Female","90","85","53010","52290"
"In post","2021","Declared disabled","Department for Education","G7","Male","50","50","52640","50890"
"In post","2021","Declared disabled","Department for Education","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","HEO","Female","110","100","31470","30310"
"In post","2021","Declared disabled","Department for Education","HEO","Male","70","70","31310","30200"
"In post","2021","Declared disabled","Department for Education","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","SEO","Female","110","105","39420","37470"
"In post","2021","Declared disabled","Department for Education","SEO","Male","80","80","38980","37100"
"In post","2021","Declared disabled","Department for Education","SEO","Unknown","[c]","[c]","[c]","[c]"
