"Status","Year","Age","Disability","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East of England","Heterosexual / straight","35","30","23380","22430"
"In post","2021","16-19","Declared non-disabled","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Heterosexual / straight","85","85","25630","25170"
"In post","2021","16-19","Declared non-disabled","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North East (England)","Heterosexual / straight","45","45","20890","21010"
"In post","2021","16-19","Declared non-disabled","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North West (England)","Heterosexual / straight","75","65","21140","21010"
"In post","2021","16-19","Declared non-disabled","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland","Heterosexual / straight","70","70","21220","21030"
"In post","2021","16-19","Declared non-disabled","Scotland","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","South East (England)","Heterosexual / straight","50","50","22080","21600"
"In post","2021","16-19","Declared non-disabled","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","South East (England)","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","South West (England)","Heterosexual / straight","100","100","19260","19040"
"In post","2021","16-19","Declared non-disabled","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Wales","Heterosexual / straight","60","55","20390","20500"
"In post","2021","16-19","Declared non-disabled","Wales","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","West Midlands (England)","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Yorkshire and The Humber","Heterosexual / straight","40","40","21940","21010"
"In post","2021","16-19","Declared non-disabled","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
