"Status","Year","Disability","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","London","230","220","47220","42460"
"In post","2021","Declared disabled","Analysis","Outside London","350","330","37190","36250"
"In post","2021","Declared disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","120","115","44960","40930"
"In post","2021","Declared disabled","Commercial","Outside London","450","430","37350","34800"
"In post","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","120","120","40340","37380"
"In post","2021","Declared disabled","Communications","Outside London","430","400","29780","26780"
"In post","2021","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","160","150","38430","36160"
"In post","2021","Declared disabled","Counter Fraud","Outside London","660","605","31930","31810"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","50","45","26880","25630"
"In post","2021","Declared disabled","Debt","Outside London","325","280","22500","21440"
"In post","2021","Declared disabled","Digital, Data & Technology","London","280","275","45860","41760"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","800","765","36890","33770"
"In post","2021","Declared disabled","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","185","185","48840","44200"
"In post","2021","Declared disabled","Finance","Outside London","630","575","34220","31600"
"In post","2021","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Outside London","155","140","25600","21050"
"In post","2021","Declared disabled","Human Resources","London","350","335","47510","41040"
"In post","2021","Declared disabled","Human Resources","Outside London","865","810","35010","31810"
"In post","2021","Declared disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","75","70","42030","39980"
"In post","2021","Declared disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","440","410","49910","51510"
"In post","2021","Declared disabled","Legal","Outside London","805","735","40580","37780"
"In post","2021","Declared disabled","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","London","3575","3450","40030","35590"
"In post","2021","Declared disabled","No function","Outside London","13800","12545","28700","26120"
"In post","2021","Declared disabled","No function","Overseas","115","115","49360","52970"
"In post","2021","Declared disabled","No function","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","London","450","430","49460","45150"
"In post","2021","Declared disabled","Project Delivery","Outside London","2140","2045","36750","33900"
"In post","2021","Declared disabled","Project Delivery","Overseas","45","45","55230","54280"
"In post","2021","Declared disabled","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","London","115","110","44710","36800"
"In post","2021","Declared disabled","Property","Outside London","615","580","32700","31330"
"In post","2021","Declared disabled","Property","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","London","105","105","41050","38940"
"In post","2021","Declared disabled","Security","Outside London","535","520","30200","27420"
"In post","2021","Declared disabled","Security","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","3005","2785","35980","31060"
"In post","2021","Declared disabled","Unknown","Outside London","18310","16280","27450","27570"
"In post","2021","Declared disabled","Unknown","Overseas","35","35","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","155","145","30100","27570"
"In post","2021","Declared non-disabled","Analysis","London","2255","2190","50070","46030"
"In post","2021","Declared non-disabled","Analysis","Outside London","2285","2175","38990","37020"
"In post","2021","Declared non-disabled","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","London","965","945","55250","46700"
"In post","2021","Declared non-disabled","Commercial","Outside London","2970","2870","39460","36520"
"In post","2021","Declared non-disabled","Commercial","Overseas","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","London","1450","1415","45590","41300"
"In post","2021","Declared non-disabled","Communications","Outside London","3270","3125","31300","28130"
"In post","2021","Declared non-disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","London","1425","1380","40010","36160"
"In post","2021","Declared non-disabled","Counter Fraud","Outside London","4495","4210","32780","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","London","295","265","27890","25630"
"In post","2021","Declared non-disabled","Debt","Outside London","2015","1795","23610","21440"
"In post","2021","Declared non-disabled","Digital, Data & Technology","London","2110","2070","50110","51730"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Outside London","6385","6165","39700","38150"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Overseas","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","London","1725","1685","49570","45200"
"In post","2021","Declared non-disabled","Finance","Outside London","4575","4300","36500","32640"
"In post","2021","Declared non-disabled","Finance","Overseas","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","Outside London","1690","1540","25400","21050"
"In post","2021","Declared non-disabled","Human Resources","London","1765","1710","47350","42850"
"In post","2021","Declared non-disabled","Human Resources","Outside London","4535","4260","34630","31810"
"In post","2021","Declared non-disabled","Human Resources","Overseas","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Unknown","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","London","165","160","53050","51270"
"In post","2021","Declared non-disabled","Internal Audit","Outside London","400","380","43530","41990"
"In post","2021","Declared non-disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","London","3725","3495","53160","52040"
"In post","2021","Declared non-disabled","Legal","Outside London","5425","4965","42950","41870"
