"Status","Year","Function_of_post","Organisation","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Westminster","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","Female","55","50","30320","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","Male","65","60","35290","29990"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Plymouth","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","Female","150","140","31340","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","Male","200","190","36560","35900"
"In post","2021","Analysis","Charity Commission","Sefton","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Female","50","50","58250","56360"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","Male","80","75","62430","57880"
"In post","2021","Analysis","Crown Prosecution Service","Flintshire and Wrexham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Wakefield","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Wakefield","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","York","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","York","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Camden and City of London","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Camden and City of London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Staffordshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Staffordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Central Hampshire","Female","85","80","38100","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Central Hampshire","Male","250","245","41940","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","South Hampshire","Male","[c]","[c]","[c]","[c]"
