"Status","Year","Age","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Female","Heterosexual / straight","30","30","23140","21690"
"In post","2021","16-19","Asian","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Male","Heterosexual / straight","30","30","22310","21010"
"In post","2021","16-19","Asian","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Black","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Female","Heterosexual / straight","5","5","[c]","[c]"
